filename,label,transcript
audio_173,3.0," My favorite place to visit would be Japan, because I'm really interested in their culture. I'm really into all Japanese stuff like anime, their history, etc. So that's why that would be my favorite place to visit. Regarding the food that I would like to try, I would like to try the dishes. I would like to try the cakes that they sell that have different flavors, mainly for fruits. And the season that I would like to go is during the cherry seasons, when all the trees have like those pink leaves. So I think that's really cool."
audio_138,3.0," I loved to reading on my hobbyist reading. Emma discovered her love for reading at an engage. When the pages of a worn-out fairy tale book transported her to a world of magic and adventure. Now with the bustling career and fast paced life, reading has become her sanctuary, her way of unwinding after a long day. Early reading was very inspiring to me, so the text started reading by inspiring her. And her collection has grown significantly over the years, filling her bookshelves with the rich, taspery of journal ranging from mystery and science fiction to historical fiction and contemporary literature. On weekends, I used to reading sessions extended to lazy afternoons in a nearby park or a quiet cave where the background hum of nature are the soft moments of people ad say comforting soundtrack to her literacy adventures. So reading, he is not only, I am not only exposed to a day of-"
audio_127,2.0," Yeah, my favorite place to visit is Thermola. It is near Chitur District. There is a very favorite temple. In the temple, Lord Vincresora is there. There is a famous Buddhist, those are the Krsa. I love that Krsa very much. When I am traveling to that place, with my friends, there is a very great joy to be with my friends and visit so many places in that Thermola."
audio_95,2.0," I am going to tell about my hobby and my hobby, generally a hobby is considered a regular activity that is done for engineering during leisure time. Hobby includes themed items and objects engaging in creative and artistic, passionate playing sports or doing any creative things or participating in any of the activities. I generally interested in reading books or developing fashions, making it diverse and different from others, hobby tend to follow trends in society and also the advancing production and technology of this generation. Thank you."
audio_73,3.5," This is a tough one. So my best deal of my life is basically right now. I will see it's my built-up spot and my wife is building my table. I'm surely not the best deal of my life to be an armed and dead person. I have this, they might go to the bomb and just on this side to bring someone into the squad and someone that's ready to take care of and not try to move it to which girl and it's very much on the bomb. And now I think about all the dates just keeping the spot. Yeah, basically, that's the best deal of my life."
audio_34,4.0, My goal in life has always been to be the best business consultant and this was fuel when I was young growing up. This one time I went to the bank and I saw one bank I was sitting there and it was an amazing guy the way he dressed was so amazing you know and I loved how he looked and I said one time I want to be you know an accountant and I worked very hard for me to come this far a lot of challenges especially financial for me to attain my education has been very hard because I come from a poor background and poor family but obviously my children motivates me each and every day to wake up and do more and be the best luscious of myself and by doing so I've become the best accountant.
audio_120_2,3.0, I want to ride the train however the file is very long. There are several elders ahead of me and then when the train comes I step in the train slowly and let the elders move ahead of me and have to locate their sit in a proper place. I allow the elders to sit down and I find myself standing in the train while the train is moving slowly going to the north side of the train.
audio_224,2.0," Can you describe the journey of travel? If you're getting this in there, well, we try to go to our province in the day where I try to do a vacation. Well, at first, I'm hesitant if I will go to a land, travel, or I should go. Oh, no. Airplane, travel. Well, the experience was great. The destination was beautiful. And all the experiences is great. Because I see new people, new destination, and I think that's really great. Are there any local foods or diseases from the places that you love? I love the foods. The foods there are easily taken."
audio_342,2.0," Here's a summary from Bradley. The market place is a very busy place where the people go to buy articles of their needs. It is a center of an attraction both buyers and sellers. A market, a way to crowd these cards causes, dumpies and cameras. They come to load it with the process of a season such as a task order, green, oil, sheet etc."
audio_228,2.0," An airport is a bar sliding hub filled with travelers wheeling suitcases, the sounds of announcement and the aroma of coffee, bright shop, lined the concourses, while large window, overlook planes taking off and landing. And anticipation as people embark on their journeys, it is in Racharya."
audio_133,3.0," If I think of a flood, I would be thinking of a lot of houses underwater, maybe a lot of people trying to swim across different streets, dogs, trying to follow their owners. So imagine a lot of cars underwater, people trying to ask for help on their roofs. Imagine a lot of fish swimming on the streets. I also picture different different government agencies trying to help."
audio_223,3.0," For me to describe the best day of my life is going to me, my family, my friends, my children because I have two mothers and two fathers so we will be celebrating our best days at the picnic so all of my family will be there, help together, we will celebrate our best day of my life together so we will also bring cakes, ice cream and we will also bring some friends and family that we have not met for so long so we can get together and talk about the things that we never talk about"
audio_287,2.5," Crowded market is a glider's cup of sights, sounds and smells. The air is thick with the aroma of exotic species, fresh produce, juice and street food. All of all edges and backgrounds through the narrow alleys, their faces are blurred as they hurry to reach their destination. A colorful stalls overflow with an era of goods, pyramids, of juice fruits, baskets of fragments, flowers and trees of golden. Best, best."
audio_332,2.5," I would like to visit South Korea because I really love the place to visit once in a life and I would like to travel to a local because they are putting their first experience. I would like to taste the local dishes in South Korea, kimchi, jambon, x sushi and many other dishes, spice and I would like to taste the spicy dishes and I would like to visit the kanchi in autumn season because the flowers or the tree blossoms, cherry blossoms."
audio_158,3.0," I keep my favorite hobby that's played for Bo. And I enjoy for Bo so much due to the original, he loves his gifts, the passion, the flair, and all. It's just a combination of Sherlock Holmes villains. And yeah, I use my boots to play, my football boots, my Jesse, and then I don't forget my show card. And sometimes I put on gloves, just for fancy. And yeah, I enjoy playing football in the whole world. I'm a striker, so I play from the advance for precision. I really love playing football."
audio_91,4.0," So one of the best days of my life was the day I gave birth. It was a very intense, difficult experience but mostly a warning day. One mini special was the feedback. I could see her as she looked so freaky. And whenever I feel about this day, I feel like I haven't had any other day like this. The feeling of, you know, it was overwhelming and it was a blessing."
audio_358,3.0," The smart phone application that I use to most is TikTok because TikTok is helping me to gain followers and also entertainment. In TikTok also I can buy things that I need for everyday use. TikTok is my favorite application and triggers. I can't find anything there. It's like a Google. But if you're looking for an answer for all your questions, you can see it with videos and most of the TikTokers they are providing. They are providing the good answer for most of the questions that I'm looking for."
audio_79,4.5," The playground that I'm thinking about is a lovely, lovely place. All around the place you can see different activities in which the kids can participate. You can see some slides, you can see kids playing on the jumping rope. There are many, many, many trees around that kids can climb bone. From what I noticed, kids absolutely love climbing the trees. It looks like it can be the most popular thing to do in that. You can hear kids laughing, you can hear the parents trying to catch the kids and ask them to go home. Unfortunately, the kids are not very happy to go home. You can hear the laughter and the vibe is just amazing in this place."
audio_10,3.0," My favorite holiday destination is Bali, Indonesia. The island operates here, perfect mix of beautiful beaches, lush landscapes and rich culture. I love the serene temples, especially Ola Wanda and Thanalot, which offers stunning sunset views. The local food is also amazing with its fresh ingredients and vibrant flavors. Bali's hospitality is something that really stands out with the locals being warm and welcoming. I enjoy the balance between adventure and relaxation there, whether it's exploring waterfalls or simply unwinding by the beach. And it's a place I always look forward. And also I have recently went on a trip to Kerala and it was quite an amazing experience. I have visited beautiful."
audio_78,2.0," Yeah, there was a scene in the crowded market there, there was people buying stuff, some people buying fish, some people buying meat, and some people buying chicken. Some of them are buying just groceries, like sugar, salt, pepper, some of them are buying a huge amount of money that they have when they go to a crowded market. And in a crowded market you will see there's a lot of people, and there's no-"
audio_313,2.0," The atmosphere in an April is one of the most sentimental environments in the life of people. Because in an April we can observe all the feelings of human beings, also from the joy of fulfilling our dreams and goals, the personal goals, the lower memories, experience to the sadness of knowing that a friend or family member is living in their city or country for a long time. A way to sustain this kind of situation is that a neighbor is entranced to a new experience of learning, also to new cultures and new languages experiences in our life."
audio_239,3.0," My favorite hobby is reading books and I enjoy very much while reading books and I explore new things and I learn new things. And my favorite hobby is reading, I love getting lost in a good book and escaping into different worlds and characters. Reading helps me to relax and unwind after a long day and it also helps me to know about new things and expand the origin of my knowledge."
audio_31,3.0," We went to our resort last summer with my family and we did a lot of fun things. Just like go to play in the beach, swim a little bit. Also we went to some beautiful places where we noticed a lot of animals like whales, a lot of fishes. Also we were able to go to swim with some dolphins. That was a great experience. We also went to a restaurant where they served delicious food, us fishes, some sushi and a lot of delicious desserts."
audio_74,3.5," In a basin, bustling market vendors haunt their wires. Fresh fruits and vegetables pilot a high. Spices waiving their fragrances and colorful fabrics hanging in the air. Small jaws will bargain over prices while other waves throw the thorns, clusting baskets and bags. Sounds of hagging mix with the shouts of vendors, the clang of parts and pans and sizing of the street food cooking on grills. Music from the street performers adds the beauty, creating a lively atmosphere. As the day progresses, the market evolves. Morning brings a frenzy of activities as vendors set up their"
audio_204,2.5," Okay, I am in our port. I am doing the line and my sister is with me. We are waiting for our mother that is in the water right now. She came and we move ahead in our registration. Everything is fine. We took the plane and we are in the plane and we have been deciding this trip since several years ago. Everything is fine. We are in the plane watching a movie and suddenly the Capitan said that we are arriving to."
audio_57,3.0," Route 24 of 2023 and all of the people are busy in the preparation for the Christmas Eve, where coming Christmas Eve and all of them who was in the market were out where they are all at the market and since it was a it was a almost a rush hour all of them was crowded all of them were busy buying fruits and some foods that they were gonna cook for the Christmas Eve."
audio_369,2.0," My favorite sports and cricket, we have a lot of famous to cricket and sports. We will be too great. Many people have the centuries and cricket to be very good and energetic and fully energy and healthy. So many programs, we have the conduct all about the cricket and cricket watching through this work of un-soment because to show people for the anxiety into teams to provide it to energy and good sports. Everybody to take it to all favorite sports. Thank you."
audio_194,5.0," Let's see, on my eastern market, the place is crowded. They're selling everything from clothing to jewelry to shoes. The street vendors here, selling hot dogs, hamburgers, sliders, fish sandwiches, Mexican food and Chinese food. It's pretty loud here, so I have to like, talk over the mic. In the morning, it's a pretty lax crowd, mostly old people looking for some great deals. And then, it transitions into the evening. You get more of the urban crowd. Single moms, kids, teenagers. And then by night, you get the router, your bunch, the people coming home from the bar. You just want to eat some of this delicious street food. In my own, I would say that the eastern market is a very good market. You should come in when you get the chance."
audio_282,2.0," When I was going to the airport, there are so many planes and airport terminal is a busy place with many people arriving and departing. The passenger had to waiting a area that provide view of runways. There are a lot of people who can buy ticket from the counter and boarding pass. Some planes are ready to move and some planes are not ready to move but the view of the airport was very beautiful."
audio_105,3.5," I recently stayed at the luxurious Horyesort National at a pristine beachfront. The restaurant future is turning ocean views from miles' features room which was elegantly furnished and equipped with all modern elements. Each morning we begin with a coordinate breakfast buffer offering a variety of local and international cuisines. Days were filled with activities such as modeling, paragliding and loving by the infinity pool the resources are provided and most of the relaxation with its range of treatments including facial massage, perfect for unwinding after a day in the sun. Evening were equally delightful with fine dining options."
audio_138_2,3.0, I love to read in my hobby size reading. Emma discovered her love for reading at an engage. When the pages of a wanno kary tale book transported her to a world of magic on the brain chair. Now with the bustling career and fast paced in life reading has become her sanctuary her way of unwinning after a long day. This reading was very inspiring to me so that I started reading by inspiring her. And her collection had grown significantly over the years feeling her bookshelves with the rich taffery of journal changing from history and science fiction to historical fiction and contemporary literature. On weekends I used to read in sessions extended to lazy afternoons in a nearby park I quite kept. Where the barren hum of nature are the softer moments of people at the comforting soundtracks to her literacy adventures. So reading is not only a not an exquisite depth.
audio_212,3.0," I enjoy the most about my hobbies, listening to music. When I feel free, when I'm inside or in happy, I will prefer to listen to music. The tools that I can need to use, the tools that we need to use, we do the laptop, laptop, mobile phone and television by using different apps. I can listen to music. I prefer to listen with my friends, with my family members. It is a great feeling when we listen that music. When we listen that music it will give"
audio_230,2.0," I used to play cricket and football in my playground of the school and I enjoyed a lot in my playground. Sometimes when I was born, so I wanted to go in my playground and there I played lots of cricket and I enjoyed a lot. My playground was very huge and green and the playground was beautiful and it so looked nice. And the playground was very huge and when I was playing in the playground of football, that was a very amazing day for a f-"
audio_16,2.5," My favorite hobby is watching TV whenever I am greater. I love watching television. But no other obstacles and studies always helps us to expand our knowledge. And basically there are several things. I was elected for the show of my school homework and then started watching TV. This slide, the lighting is going to work. And it's a parkour. The excitement in television. As it increases my curiosity I wrote the word. I think different musical stuff from TV and English, my knowledge, origins, and it gives me a lot of stuff. It is a good habit because I also enjoy the escorts a lot of knowledge in various fields. There are several channels on TV with some simple back there, of course. I was the news and I liked channels such as an online discovery channel or another information channel. These channels and ways make various 10 anchors which learn about different aspects of life."
audio_249,3.5," The smartphone application that I use the most is Facebook and we all know that Facebook is a social media app that really captured your attention. Maybe it had a user-friendly interface with a vibrant feed where you could easily scroll through posts from friends and family. You probably enjoyed sharing updates, photos and memories while connecting with others through comments and likes. That might have features like groups of your interests, events to keep track of and perhaps even a marketplace for local buying and"
audio_1,3.0, People in the market are selling fish in the morning and a lot of meat because people go there to buy food for their restaurants before they start to cook they go there to collect the products they need. You can hear a lot of people shouting they want a bargain so they they speaking enthusiastically to get them to the marketers to put their prices down and you can see that in a morning there are a lot of people there and there's a change of scenery throughout today where there's gradually less people in the market. You can sense a lot of
audio_303,4.0," My school playground is wide and huge. It has, the ground has a sand on it. There are slides, sea saws and swings around it. Many children play on the playground. They were laughing so hard and they were talking with their playmates and their parents. On a different day. Other than children, there are also adults who are in there, as well as their teachers who give them security and instructions on what to do. And to ensure that they are secured and safe while having fun playing with their friends. And of course, they enjoy playing around with their friends too."
audio_317,3.0," The budget of my life was when I entered a lottery game and I won. I wasn't expecting to win, but I won anyway. I was able to win a lot of money, not too much money, but at least money that I was able to buy some few things that I needed at that time. So I was so happy. I was overjoyed. Now when I think about that day, I'll smell and be thinking, oh, that was a good day. I shared it for me. It makes me so happy."
audio_111,3.0," smoothing effect. Besides this, I also have obvious such as reading comic books, painting, writing narrative stories and maintaining a scrapbook. These activities make me happy and I hence my hidden qualities. Writing and reading boosts my imagination. Along with these activities, I participate in gardening in my leisure time. Because I love to plan new and colorful service. Moreover, I like dancing and singing. These are the activities I often do whenever I find time. After completing my studies and homework, I do participate in singing and dancing competitions as well. Because I like to sing and dance. My teachers and parents always appreciate and encourage me to pursue my hobbies. Every human being on the earth is unique, not only in terms of appearance."
audio_267,3.0," School. First of all my school name is New Little School. It's located at Kismathpur and he, the scene happened at school, that school playground. What one cell was felled on from second floor to the ground. That is the biggest scene which I saw at my playground as well as school, school playground. I have taken the boy to principal that he had leading with a black."
audio_85,2.0," I was in a crowded market. There is vendors everywhere. They are selling fruits, vegetables, they sell dry goods. I'm actually not decided whether or whether I buy. So there's a lot of vendors, there's a lot of people in the crowded market since it's crowded. There's a lot of goods where you can choose to buy. So there's fish, there's meat, there's vegetable, there's a lot in here like dry goods where there's a variety of choices where you can choose to go."
audio_221,3.0," I consider the best day of my life to be when an event on a trip to a tropical paradise. A morning started early with birds shipping and wheel scratching against the shore and the sun shining through the window. I spend the day lounging on the beach, relaxing under the sun and swimming in a crystal pier water. The evening I watched the sunset from a rooftop bar while stepping on a fresh refreshing cold drink. It was a completely carefree day filled with relaxation and enjoyment. And I would like to live the day I want to get another best day of my life. When I visited a new state there, it was very well excitement. I explored the streets, tried new foods, immersed myself in the new culture. So all the traveling days were waiting for the best day of my life. Thank you."
audio_232_2,3.0, It is another busy Monday at Seoul station. There are office workers with briefcase running late for work and students with backpacks running to catch the train. There are also homeless people lying on the bench while on the platform while waiting for the train to pass. There are also people selling food and drinks on the platform and there are also a few vending machines that people can use to buy something they need.
audio_372,2.0," I would describe my favorite holiday destination in Singapore. So I saw the beautiful destination there, like Marina Bessent's Gardens by the Bee, the Centosa, and then also the Universalist's Future. So I would appreciate the surroundings there or the background there. So I would appreciate those things and then also the areas. So I am happy when I, if ever I would come back to Singapore, I would be. Thank you."
audio_56,5.0," There's a crowded market, kind of a variety of various dignacs and electronics, magazines and books and things like that, almost like a flea market on the perimeter. Those are the sort of items you see alongside various snacks. There's lots of people chattering and you hear some bargaining around you. And as you get closer to the interior, you see the core of the market. It's mostly food. Regular people can shop there, but it's a lot of restaurant people. Things like whole fish, large sides of beef and things like that. You see a great amount, a variety of vegetables, everything sold, you know, mostly intended to be sold in large quantities."
audio_269,3.5," The hobby that I enjoy the most is painting. Painting brings such a calm and relaxing experience for me and it helps me advance my creativity. The tools that I need for painting are the canvas, the colors, the paint brushes, the color mixing tools. And I love enjoying painting on my own, but I also love it with my children because it brings out the creativity and also helps me realize what kind of things."
audio_337,3.0," My stay at the research was really nice. It was really good. It was an old included research. The food was really amazing, really tasty. The services included customer service at the room, all included full, including breakfast, lunch and dinner. And I could use the pool. So it was a really amazing experience. Also the customer service was really fast and they were really kind to me. They were really friendly. And I did have a really amazing time there."
audio_359,2.5, I remember once upon a time when I went to go for a trip then there it was a good holiday destination and I saw some of the children was playing on the beach beside the beach and some ladies and gents and also taking the chill up on the beach and they are feeling fantastic and I saw very well and I enjoyed a lot at that time and that was a good experience in my life and I haven't got forget this moment and this was the good time
audio_43,3.0, The scene of the airport I've been two weeks ago was like a rest room and some that place are so many many companies or stores from the culture topics or some global companies like McDonald's or KFC or something like that there are two are runway for the suitcases in case there are two heavy and there are many security persons and cops in the way for control and any situation that could be in the airport.
audio_333,5.0," I love going to the beach. The beach in Costa Rica is one of my favorite places to travel to. Although it is not a white sand beach, the water is fairly calm and it is always warm. There are also food stations scattered around the beach which makes it easy to spend all day there. The people are friendly and there is always something to do. It is also very safe. If you want to, you can explore the beach and see all different types of wildlife including birds and cayishly crocodiles. There are also smaller beaches that are cove-like beaches. You have to hike through the woods to get to them but it is like a little secret journey. Realistically I would try to go to different beaches every day when I am in Costa Rica because they all have a different experience. Some beaches are allowed and crowded or other"
audio_71,2.5," Hello, good day everyone. My topic for today is regards to school playground. School playground is a very nice and very happy place for me because it clips me a lot of memories and forgettable memories with my best friends. So what we do back in the day when I was a kid is we play hide and seek. We play play station in the playground. Sometimes we do playing a shooting game. Sometimes we play a ball game, a volleyball. Sometimes we do play different and"
audio_40,2.5, It is the big market of the city so everyone come to here for shopping for every weekend on time we can earn all the time. So this is the most crowded place in the weekend and all the times because everything wholesale and retail pricing and low pricing and every time there is a scheme and some bonus on the retail so everybody like and shop here and come to the every time and enjoy the shopping and all that here so it is a very crowded place market.
audio_83,3.0, Once I went to the hotel and it was resorting the beach. I went with my family and well my two daughters and my son told me I wanted to go to the restaurant in the resort and we went to eat great food. It was the most delicious food that we have eaten during our travels and it was a great experience. We had a lot of fun.
audio_26,2.5," Certainly, air force, we particularly first to the unique language. Let us describe what could be the scene on the air force. When I was walking to just checking my tickets and just to end to board my flight, I saw that a man was sitting beside a lady, was reading the newspaper and flight attendants and gate agents communicate with coincide codes and phrases and showing efficient operations."
audio_195,3.0," My favorite hobby is cooking for cooking for is my passion. I love to cook such different kind of words which I love to eat the food and cook the food, feed the food to different kind of people. I like to cook different kinds of varieties of food which were very unique. I would sometimes it may fail and sometimes I would cook very good many of the people appreciate me for my food and they love most of the people love my food which I cook and that was my most favorite hobby. There are many tools that in my hobby were I just enjoy my hobby I will just enjoy making food. Making food is my hobby and I just love making different kind of food and feed to them. Mostly I like to eat the food."
audio_156,2.5," Earlier we became ohhh Trump parody such a wonderful place along my friends, plan to move on Tirumala on train. It's a wonderful, fascinating journey. A lot of memories are grabbing in that journey and bonding also. Tirumala is a sambhara and dosa is a favorite dish. All sampad is a good..."
audio_166,5.0," Well, I went to New York and I was going to in the evening. It was my favorite band over one of my three favorite bands playing in Brooklyn, so I was going to that. And in the morning I got an ad on Facebook, advertising the Book of Mormon, the musical, which I really wanted to see, but I don't know. I had totally forgotten about it by the time it actually was in New York since it came out a few years before. And yeah, I ended up getting a ticket, so I went around New York, ate a bunch of great food, like New York pizza, bagel. And yeah, I went to see the Book of Mormon, then I walked around some more, looked at the UN, went to see my favorite band, took the ferry back to Staten Island, and while eating like a bacon eater out on the ferry looking at Manhattan at night, and said she had a little bit of tea. That was great."
audio_361,3.0," is Instagram is the free online photo and video sharing application and social network social networking application. Instagram also, Instagram allows users to edit and upload photos, short videos and users can add captions. I love to use Instagram because it is a very entertaining app. There is a very good and bad also benefit of Instagram but there is very good learning, very new things also I learned from that and Instagram is not only a tool for individual but also for a business."
audio_23,2.0," We are here to, we are here to order a beautiful scenery and a beautiful yard in our resort. It's a really nice place here and it has the largest pool and a good food. I like the architecture of this resort and I like the food. It's really good and the people were so kind and good. The service is really excellent and the management is totally good to the people. It's really wonderful place. We can visit and actually with my family, I hear with my family it's really a good place, cool thing. It's a nice place."
audio_234,3.0," Well, the singing of an airport depends a lot of the country. Most of the times it's a very organized environment with a lot of security. Also sometimes can be a little bit chaotic because of the people that arrive, that arrive, they're like all day, every single day of the year. And there's also a lot of fast food when you can go and grab a drink, grab something to eat and have a good time while you wait for your plane to arrive. And also you have the duty free where you can get a lot of good brands and renamed brands for a tip price."
audio_47,3.5," A school playground is designed to provide an environment for children that facilitates play or typically outdoors. Some are designed for other age groups or also people with disabilities, but basically a scene of a school playground consists of children and playing together with their friends and just having fun. Some are also eating their lunch in the school playground after playing and also together with their families. They're just really having some fun while they have their time."
audio_43_2,3.0, The scene of the airport I've been two weeks ago was like a rest room and some that place are so many many companies or stores from the culture topics or some global companies like McDonald's or KFC or something like that there are two are runway for the suitcases in case there are two heavy and there are many security persons and cops in a way for control and any situation that could be in the airport
audio_354,4.5," My goal in life is to save the planet. There is a serious need that we human beings, we need to save our Earth. Because we are facing a serious crisis of climate change. But there's flood that everything's going on. My goal is to educate my community on how we can recycle, on how we can change what we do things, and on how we can make our planet a better place for our future children. They have to enjoy what we have enjoyed. They have to see what we have seen. Animals, beings, catat, everything they see everywhere is dirty. So we have to change the way we do things. We have to do things to better our future."
audio_77,2.0," The topic is, describe your stay at a resort. So, when I have reached the resort with my family, it was during the summer, so it's very hot and sweaty, but after reaching the resort, the weather is so pleasant because of its beautiful ambience around, and the food they served is truly lovable, and they have different kinds of cuisines, and the service they made is also very good, and they also have the private clubs, which we can enjoy ourselves, and it is nearby the beach, so we spend more time in the beach with my family."
audio_343,2.5," I guess the planes are ready to take up many people, families, children, security wards, also people who are buying or handing out tickets and old man who is reading the newspaper while his granddaughter is playing and I can see people saying goodbye to their family doing calls watching the april screens, people crying and others killing to get on the planes and also I can see my family who is waiting for the next flight and also I can see people who are very angry because they had a problem and in the airport maybe because with their package, I don't know and also I can see that a boy who is sitting in an..."
audio_58,3.0," Well, if we talk about a school program, it's really common to see kids running for everywhere. I used to play the Anda. It's a play that you touch another person and the other person comes to follow us to touch others. Also, as you can see, the kids playing football is readily to see playing basketball. There's people who like playing basketball. I don't know. Obviously, a lot of kids are everywhere."
audio_185,3.0," My special hobby. My favourite hobby is watching TV whenever I have a free time. I love watching television. It is very abstracted by my studies. Hobbies help us to expand our knowledge and it teaches us several things. First I like to finish all my school homework and then I start watching TV. The highlighted menu and sparks of the excitement inside me has it increases my curiosity about the world. Watching different useful stuff on TV and changes, enhances my knowledge or horizontal and gives me lots of joy. It is a good habit because watching TV explores a lot of knowledge in various fields. There are several channels on TV which represents world wide affairs."
audio_25,2.0, describing about the best day in my life is not a particular day but I think everyday start with new hope and new experiences. So everyday we have to think that it is a new chance or a new day to make and not about a single day as a best day. I will try to make everyday as a best day in my life. Not only a single day but I will treat everyday as a best day and make everyday as a special day in my life. Thank you.
audio_18,3.0," My favorite place to visit is an initiative, beach, a tuck it away from the huzzle and bersil of the wall pictures off and my favorite place to visit is like to go. I'm so excited from the time to visit Paris. Still now I didn't visit it to that place but I'm like to visit to that place. I won't explore this country and that city."
audio_168,3.0," We have many people in the road and we have lot of people and working on the market where we are living in South Street. Some people are working for their business, some people are roaming for their glossaries on some other times etc. In the building market have lot of things which we are buying for the daily use or regular use or some other purpose. Some people are roaming in there and some people are buying something for this needed for some people are buying. But they are men very glossaries or etc."
